Species;Common;IUIS Allergen;Type;Group;Allergenicity;Length;Accession;GI#;1st Version
Anisakis simplex;Parasitic fish worm;Ani s 11.0101;Food Animal;Anisakis Ani s 11;IgE but no biological test;307;BAJ78220.1;323575361;12
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 11;IgE but no biological test;160;BAJ78221.1;323575363;12
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 11;IgE but no biological test;287;BAJ78222.1;323575365;12
Anisakis simplex;Parasitic fish worm;Ani s 12.0101;Food Animal;Anisakis Ani s 12;IgE but no biological test;295;BAJ78223.1;323575367;12
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 12;IgE but no biological test;264;AGC60029.1;442577851;14
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 12;IgE but no biological test;264;AGC60030.1;442577853;14
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 12;IgE but no biological test;264;AGC60031.1;442577855;14
Anisakis simplex;Parasitic fish worm;Ani s 14.0101;Food Animal;Anisakis Ani s 14;IgE but no biological test;217;BAT62430.1;957554293;17
Anisakis simplex;Parasitic fish worm;Ani s 2.0101;Food Animal;Anisakis Ani s 2 paramyosin;IgE but no biological test;473;AAF75225.1;8453086;7
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 2 paramyosin;IgE but no biological test;869;Q9NJA9.1;42559536;9
Anisakis simplex;Parasitic fish worm;Ani s 3.0101;Food Animal;Anisakis Ani s 3 tropomyosin;IgE plus basophil+ or SPT+;284;Q9NAS5.1;14423976;7
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 3 tropomyosin;IgE plus basophil+ or SPT+;284;AEQ28167.1;350285785;13
Anisakis simplex;Parasitic fish worm;Ani s 4.0101;Food Animal;Anisakis Ani s 4;IgE plus basophil+ or SPT+;14;P83885.1;47605398;7
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 4;IgE plus basophil+ or SPT+;115;CAK50389.1;110346534;8
Anisakis simplex;Parasitic fish worm;Ani s 5.0101;Food Animal;Anisakis Ani s 5 SXP/RAL-2 family protein;IgE but no biological test;152;BAF43534.1;121308878;8
Anisakis simplex;Parasitic fish worm;Ani s 7.0101;Food Animal;Anisakis Ani s 7 UA3-recognized allergen;IgE but no biological test;1096;ABL77410.1;119524036;9
Anisakis simplex;Parasitic fish worm;Ani s 8.0101;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75681.1;155676636;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75704.1;155676682;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75705.1;155676684;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75706.1;155676686;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75707.1;155676688;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75708.1;155676690;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75709.1;155676692;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75710.1;155676694;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75711.1;155676696;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis Ani s 8 SXP/RAL-2 family protein 2;IgE but no biological test;150;BAF75712.1;155676698;9
Anisakis simplex;Parasitic fish worm;Ani s 9.0101;Food Animal;Anisakis Ani s 9;IgE but no biological test;147;ABV55106.1;157418806;9
Anisakis simplex;Parasitic fish worm;Unassigned;Food Animal;Anisakis simplex troponin-like;IgE but no biological test;161;CAB58171.1;6065738;7
Balanus rostratus;Crustacean;Unassigned;Food Animal;Balanus r tropomyosin;IgE but no biological test;284;BAF46896.1;125659386;9
Batillus cornutus;Japanese turban shell;Unassigned;Food Animal;Batillus Tur c1;IgE but no biological test;284;BAH10149.1;219806588;10
Bos grunniens mutus;Yak;Bos d 11.0101;Food Animal;Bos Bos d 11 beta casein;IgE plus basophil+ or SPT+;259;XP_005902099.2;942073448;16
Bos taurus;Bovine;Unassigned;Food Animal;Bos Alpha-s1 casein;IgE plus basophil+ or SPT+;93;AAA62707.1;162650;7
Bos taurus;Bovine;Unassigned;Food Animal;Bos Alpha-s1 casein;IgE plus basophil+ or SPT+;214;AAA30429.1;162794;7
Bos taurus;Bovine;Unassigned;Food Animal;Bos Alpha-s1 casein;IgE plus basophil+ or SPT+;76;AAA30478.1;162927;7
Bos taurus;Bovine;Bos d 9.0101;Food Animal;Bos Alpha-s1 casein;IgE plus basophil+ or SPT+;214;NP_851372.1;30794348;8
Bos taurus;Bovine;Unassigned;Food Animal;Bos Alpha-s1 casein;IgE plus basophil+ or SPT+;205;ABW98943.1;159793197;9
Bos taurus;Bovine;Unassigned;Food Animal;Bos Alpha-s1 casein;IgE plus basophil+ or SPT+;172;ABW98945.1;159793201;9
Bos taurus;Bovine;Unassigned;Food Animal;Bos Alpha-s1 casein;IgE plus basophil+ or SPT+;129;ABW98953.1;159793217;9
Bos taurus;Bovine;Bos d 10.0101;Food Animal;Bos Bos d 10;IgE plus basophil+ or SPT+;222;NP_776953.1;27806963;15
Bos taurus;Bovine;Unassigned;Food Animal;Bos Bos d 11 beta casein;IgE plus basophil+ or SPT+;224;AAA30430.1;162797;7
Bos taurus;Bovine;Bos d 11.0101;Food Animal;Bos Bos d 11 beta casein;IgE plus basophil+ or SPT+;224;AAA30431.1;162805;7
Bos taurus;Bovine;Unassigned;Food Animal;Bos Bos d 11 beta casein;IgE plus basophil+ or SPT+;224;AAB29137.1;459292;7
Bos taurus;Bovine;Unassigned;Food Animal;Bos Bos d 12;IgE plus basophil+ or SPT+;190;AAA30433.1;162811;7
Bos taurus;Bovine;Bos d 12.0101;Food Animal;Bos Bos d 12;IgE plus basophil+ or SPT+;190;NP_776719.1;27881412;15
Bos taurus;Bovine;Unassigned;Food Animal;Bos Bos d 4;IgE plus basophil+ or SPT+;142;CAA29664.1;295774;7
Bos taurus;Bovine;Bos d 4.0101;Food Animal;Bos Bos d 4;IgE plus basophil+ or SPT+;142;AAA30615.1;163283;15
Bos taurus;Bovine;Bos d 5.0101;Food Animal;Bos Bos d 5;IgE plus basophil+ or SPT+;178;CAA32835.1;520;7
Bos taurus;Bovine;Unassigned;Food Animal;Bos Bos d 5;IgE plus basophil+ or SPT+;178;P02754.3;125910;9
Bos taurus;Bovine;Unassigned;Food Animal;Bos Bos d 5;IgE plus basophil+ or SPT+;178;ACG59280.1;195957138;10
Bos taurus;Bovine;Bos d 6.0101;Food Animal;Bos Bos d 6;IgE plus basophil+ or SPT+;607;AAA51411.1;162648;7
Bos taurus;Bovine;Unassigned;Food Animal;Bos Bos d 6;IgE plus basophil+ or SPT+;607;CAA76847.1;3336842;7
Bos taurus;Bovine;Unassigned;Food Animal;Bos lactotransferrin;IgE but no biological test;708;NP_851341.1;30794292;8
Charybdis feriatus;Crab;Cha f 1.0101;Food Animal;Charybdis Cha f 1;IgE but no biological test;264;AAF35431.1;7024506;7
Chionoecetes opilio;Snow Crab;Unassigned;Food Animal;Chionoecetes tropomyosin;IgE but no biological test;284;A2V735.1;308191588;12
Clupea harengus;Atlantic herring;Clu h 1.0101;Food Animal;Clupea Clu h 1;IgE but no biological test;109;CAQ72970.1;242253963;11
Clupea harengus;Atlantic herring;Clu h 1.0201;Food Animal;Clupea Clu h 1;IgE but no biological test;110;CAQ72971.1;242253965;11
Clupea harengus;Atlantic herring;Clu h 1.0301;Food Animal;Clupea Clu h 1;IgE but no biological test;109;CAQ72972.1;242253967;11
Crangon crangon;Shrimp;Cra c 1.0101;Food Animal;Crangon Cra c 1 tropomyosin;IgE but no biological test;284;ACR43473.1;238477263;12
Crangon crangon;Shrimp;Cra c 2.0101;Food Animal;Crangon Cra c 2 arginine kinase;IgE but no biological test;356;ACR43474.1;238477265;12
Crangon crangon;Shrimp;Cra c 4.0101;Food Animal;Crangon Cra c 4 sarcoplasmic calcium-binding prote;IgE but no biological test;193;ACR43475.1;238477327;12
Crangon crangon;Shrimp;Cra c 5.0101;Food Animal;Crangon Cra c 5 myosin light chain;IgE but no biological test;153;ACR43477.1;238477331;12
Crangon crangon;Shrimp;Cra c 6.0101;Food Animal;Crangon Cra c 6 troponin C;IgE but no biological test;150;ACR43478.1;238477333;12
Crangon crangon;Shrimp;Cra c 8.0101;Food Animal;Crangon Cra c 8 triosephosphate isomerase;IgE but no biological test;249;ACR43476.1;238477329;12
Crassostrea gigas;American  oyster;Cra g 1.0102;Food Animal;Crassostrea Tropomyosin Cra g 1;IgE but no biological test;284;BAH10152.1;219806594;10
Crassostrea gigas;American  oyster;Cra g 1.0101;Food Animal;Crassostrea Tropomyosin Cra g 1;IgE but no biological test;284;ARX70262.1;1203820203;18
Crassostrea virginica;Eastern oyster;Unassigned;Food Animal;Crassostrea Tropomyosin Cra g 1;IgE but no biological test;160;AAC61869.1;3668408;7
Cyprinus carpio;Carp;Cyp c 1.0101;Food Animal;Cyprinus Cyp c 1 Parvalbumin;IgE plus basophil+ or SPT+;109;CAC83658.1;17977825;7
Cyprinus carpio;Carp;Cyp c 1.0201;Food Animal;Cyprinus Cyp c 1 Parvalbumin;IgE plus basophil+ or SPT+;109;CAC83659.1;17977827;7
Erimacrus isenbeckii;Horsehair crab;Unassigned;Food Animal;Erimacrus tropomyosin;IgE but no biological test;284;BAF47268.1;125995169;8
Erimacrus isenbeckii;Horsehair crab;Unassigned;Food Animal;Erimacrus tropomyosin;IgE but no biological test;284;BAF47269.1;125995171;8
Eriocheir sinensis;Chinese mitten crab;Eri s 2.0101;Food Animal;Eriocheir sinensis Eri s 2;IgE plus basophil+ or SPT+;252;AAO73305.1;37778438;16
Eriocheir sinensis;Chinese mitten crab;Unassigned;Food Animal;Eriocheir tropomyosin;IgE but no biological test;284;ABO71783.1;134305330;8
Euphausia pacifica;North Pacific Krill;Unassigned;Food Animal;Euphausia;IgE plus basophil+ or SPT+;284;BAF76431.1;156712754;9
Euphausia superba;Krill;Unassigned;Food Animal;Euphausia;IgE plus basophil+ or SPT+;284;BAF76430.1;156712752;9
Evynnis japonica;Crimson seabream;Unassigned;Food Animal;Evynnis parvalbumin;IgE but no biological test;109;BAK09233.1;327342663;12
Evynnis japonica;Crimson seabream;Unassigned;Food Animal;Evynnis parvalbumin;IgE but no biological test;108;BAK09232.1;327342661;12
Farfantepenaeus aztecus;Brown shrimp;Pen a 1.0101;Food Animal;Farfantepenaeus Pen a 1;IgE plus basophil+ or SPT+;284;AAZ76743.1;73532979;7
Fenneropenaeus chinensis;Chinese white shrimp;Unassigned;Food Animal;Fenneropenaeus Arginine kinase;IgE but no biological test;53;AAS98889.1;46486948;9
Fenneropenaeus chinensis;Chinese white shrimp;Unassigned;Food Animal;Fenneropenaeus Arginine kinase;IgE but no biological test;53;AAS98890.1;46486951;9
Fenneropenaeus merguiensis;Banana Prawn;Unassigned;Food Animal;Fenneropenaeus  hemocyanin banana shrimp;IgE but no biological test;661;AGT20779.1;530340505;15
Fenneropenaeus merguiensis;Banana Prawn;Unassigned;Food Animal;Fenneropenaeus enolase;IgE but no biological test;117;AEM89226.1;344049993;15
Fulvia mutica;Mollusc;Unassigned;Food Animal;Fulvia tropomyosin;IgE but no biological test;284;BAH10153.1;219806596;10
Gadus callarias;Baltic cod;Gad c 1.0101;Food Animal;Gadus Gad c 1 Gad m 1;IgE plus basophil+ or SPT+;113;P02622.1;131112;7
Gadus morhua;Atlantic cod;Gad m 1.0101;Food Animal;Gadus Gad c 1 Gad m 1;IgE plus basophil+ or SPT+;109;AAK63086.1;14531014;7
Gadus morhua;Atlantic cod;Gad m 1.0201;Food Animal;Gadus Gad c 1 Gad m 1;IgE plus basophil+ or SPT+;109;AAK63087.1;14531016;7
Gadus morhua;Atlantic cod;Gad m 1.0102;Food Animal;Gadus Gad c 1 Gad m 1;IgE plus basophil+ or SPT+;109;CAM56785.1;148356691;9
Gadus morhua;Atlantic cod;Gad m 1.0202;Food Animal;Gadus Gad c 1 Gad m 1;IgE plus basophil+ or SPT+;109;CAM56786.1;148356693;9
Gadus morhua;Atlantic cod;Gad m 2.0101;Food Animal;Gadus Morhua Gad m 2;IgE but no biological test;11;B3A0L6.1;576011130;15
Gadus morhua;Atlantic cod;;Food Animal;Gadus morhua Gad m 3;IgE but no biological test;15;P86980.1;576011086;15
Gallus gallus;Chicken;Gal d 9.0101;Food Animal;Gallus enolase Gal d 9;IgE plus basophil+ or SPT+;434;NP_990450.1;46048765;18
Gallus gallus;Chicken;Gal d 1.0101;Food Animal;Gallus Gal d 1;IgE plus basophil+ or SPT+;210;P01005.1;124757;7
Gallus gallus;Chicken;Unassigned;Food Animal;Gallus Gal d 1;IgE plus basophil+ or SPT+;210;ACJ04729.1;209979542;10
Gallus gallus;Chicken;;Food Animal;Gallus Gal d 2;IgE plus basophil+ or SPT+;155;CAA23681.1;63052;7
Gallus gallus;Chicken;Gal d 2.0101;Food Animal;Gallus Gal d 2;IgE plus basophil+ or SPT+;386;P01012.2;129293;7
Gallus gallus;Chicken;;Food Animal;Gallus Gal d 2;IgE plus basophil+ or SPT+;386;CAA23682.1;808969;7
Gallus gallus;Chicken;;Food Animal;Gallus Gal d 2;IgE plus basophil+ or SPT+;385;1JTI_A;15826578;7
Gallus gallus;Chicken;Unassigned;Food Animal;Gallus Gal d 2;IgE plus basophil+ or SPT+;385;1UHG_D;34811333;7
Gallus gallus;Chicken;Gal d 3.0101;Food Animal;Gallus Gal d 3;IgE plus basophil+ or SPT+;705;CAA26040.1;757851;7
Gallus gallus;Chicken;;Food Animal;Gallus Gal d 3;IgE plus basophil+ or SPT+;705;P02789.2;1351295;7
Gallus gallus;Chicken;;Food Animal;Gallus Gal d 4;IgE plus basophil+ or SPT+;147;P00698.1;126608;7
Gallus gallus;Chicken;;Food Animal;Gallus Gal d 4;IgE plus basophil+ or SPT+;24;AAA48944.1;212279;7
Gallus gallus;Chicken;Gal d 4.0101;Food Animal;Gallus Gal d 4;IgE plus basophil+ or SPT+;147;CAA23711.1;63581;15
Gallus gallus;Chicken;Gal d 5.0101;Food Animal;Gallus Gal d 5;IgE plus basophil+ or SPT+;615;CAA43098.1;63748;7
Gallus gallus;Chicken;Unassigned;Food Animal;Gallus Gal d 6 YGP42;IgE but no biological test;284;BAA13973.1;3;14
Gallus gallus;Chicken;;Food Animal;Gallus gallus Gal d 7;IgE but no biological test;192;P02604.3;55584149;16
Gallus gallus;Chicken;Gal d 8.0101;Food Animal;Gallus parvalbumin Gal d 8;IgE plus basophil+ or SPT+;110;CAX32963.1;225877920;10
Haliotis discus discus;Disk abalone;Unassigned;Food Animal;Haliotis Hal m 1 tropomyosin;IgE but no biological test;284;BAH10148.1;219806586;10
Haliotis discus discus;Disk abalone;Unassigned;Food Animal;Haliotis paramyosin;IgE but no biological test;860;BAJ61596.1;318609972;12
Haliotis diversicolor;Abalone;Unassigned;Food Animal;Haliotis Hal m 1 tropomyosin;IgE but no biological test;284;AAG08987.1;9954249;7
Haliotis laevigata x Haliotis rubra;;Hal l 1.0101;Food Animal;Haliotis Hal m 1 tropomyosin;IgE but no biological test;284;APG42675.1;1109557549;18
Helix aspersa;Brown garden snail;Hel as 1.0101;Food Animal;Helix Hel as 1 tropomyosin;IgE but no biological test;284;CAB38044.1;4468224;7
Homarus americanus;American lobster;Hom a 1.0102;Food Animal;Homarus Hom a 1;IgE plus basophil+ or SPT+;284;AAC48288.1;2660868;7
Homarus americanus;American lobster;Hom a 1.0101;Food Animal;Homarus Hom a 1;IgE plus basophil+ or SPT+;284;AAC48287.1;2660866;15
Lates calcarifer;Asian Seabass;Lat c 1.0101;Food Animal;Lates Lat c 1;IgE but no biological test;109;AAV97933.1;56553743;15
Lates calcarifer;Asian Seabass;Lat c 1.0201;Food Animal;Lates Lat c 1;IgE but no biological test;109;AAT45383.1;48526356;15
Lepidorhombus whiffiagonis;Flat fish;Lep w 1.0101;Food Animal;Lepidorhombus Lep w 1 parvalbumin;IgE but no biological test;109;CAP17694.1;208608078;10
Litopenaeus vannamei;Whiteleg Shrimp;Lit v 4.0101;Food Animal;Litopenaeus  Lit v 4 sarcoplasmic Ca+ binding;IgE plus basophil+ or SPT+;193;ACM89179.1;223403273;11
Litopenaeus vannamei;Whiteleg Shrimp;Lit v 1.0101;Food Animal;Litopenaeus Lit v 1 tropomyosin;IgE but no biological test;284;ACB38288.1;170791252;10
Litopenaeus vannamei;Whiteleg Shrimp;Lit v 2.0101;Food Animal;Litopenaeus Lit v 2;IgE but no biological test;356;ABI98020.1;115492980;8
Litopenaeus vannamei;Whiteleg Shrimp;Lit v 3.0101;Food Animal;Litopenaeus Lit v 3 myosin;IgE but no biological test;177;ACC76803.1;184198734;10
Macrobrachium rosenbergii;Giant River Prawn;Mac r 1.0101;Food Animal;Macrobrachium rosenbergii shrimp tropomyosin;IgE but no biological test;284;ADC55380.1;288819271;11
Macrobrachium rosenbergii;Giant River Prawn;Unassigned;Food Animal;Macrobrachium rosenbergii shrimp tropomyosin;IgE but no biological test;284;AHA85706.1;558698675;15
Macruronus magellanicus;Patagonian Grenadier;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;98;P86739.1;308191450;12
Macruronus magellanicus;Patagonian Grenadier;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86741.1;308191461;12
Macruronus magellanicus;Patagonian Grenadier;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;74;P86740.1;308191474;12
Macruronus novaezelandiae;Blue hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;83;P86742.1;308191475;12
Marsupenaeus japonicus;Kuruma Shrimp;Unassigned;Food Animal;Marsupenaeus tropomyosin;IgE but no biological test;284;BAF47263.1;125995159;8
Melicertus latisulcatus;King Prawn;Mel l 1.0101;Food Animal;Melicertus tropomyosin;IgE but no biological test;284;AGF86397.1;451935062;14
Merluccius australis australis;southern hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86745.1;308191452;12
Merluccius australis polylepis;Southern hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86749.1;308191453;12
Merluccius australis polylepis;Southern hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86750.1;308191464;12
Merluccius bilinearis;Silver hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86752.1;308191465;12
Merluccius bilinearis;Silver hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86753.1;308191478;12
Merluccius bilinearis;Silver hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;94;P86754.1;308191488;12
Merluccius capensis;Shallow-water cape hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86757.1;308191466;12
Merluccius gayi;Southern Pacific hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86761.1;308191455;12
Merluccius gayi;Southern Pacific hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;91;P86760.1;308191489;12
Merluccius merluccius;European hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P02620.1;131116;12
Merluccius merluccius;European hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86765.1;308191469;12
Merluccius paradoxus;Deep-water cape hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86768.1;308191457;12
Merluccius paradoxus;Deep-water cape hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86769.1;308191470;12
Merluccius paradoxus;Deep-water cape hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;95;P86770.1;308191483;12
Merluccius polli;Benguela hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86771.1;308191471;12
Merluccius polli;Benguela hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;69;P86772.1;308191484;12
Merluccius productus;North Pacific hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86774.1;308191459;12
Merluccius productus;North Pacific hake;Unassigned;Food Animal;Merluccius sp. Macruronus sp. Parvalbumin Hake;IgE but no biological test;108;P86775.1;308191472;12
Metapenaeus ensis;Greasyback shrimp;Met e 1.0101;Food Animal;Metapenaeus Met e 1 Tropomyosin;IgE but no biological test;274;AAA60330.1;607633;7
Mimachlamys nobilis;Noble scallop;Unassigned;Food Animal;Mimachlamys Tropomyosin;IgE plus basophil+ or SPT+;284;AAG08989.1;9954253;7
Neptunea polycostata;Wrinkled Neptune;Unassigned;Food Animal;Neptunea tropomyosin;IgE but no biological test;284;BAH10150.1;219806590;10
Octopus vulgaris;Octopus;Unassigned;Food Animal;Octopus tropomyosin;IgE but no biological test;284;BAE54433.1;83715936;7
Ommastrephes bartramii;red squid;Unassigned;Food Animal;Ommastrephes tropomyosin;IgE but no biological test;284;BAE54432.1;83715934;7
Oncorhynchus keta;chum salmon;Onc k 5.0101;Food Animal;Oncorhynchus Onc k 5;IgE but no biological test;193;BAJ07603.1;296040357;15
Oncorhynchus mykiss;rainbow trout;Onc m 1.0101;Food Animal;Oncorhynchus Rainbow trout parv Onc m 1;IgE but no biological test;108;P86431.1;288559139;11
Oncorhynchus mykiss;rainbow trout;Onc m 1.0201;Food Animal;Oncorhynchus Rainbow trout parv Onc m 1;IgE but no biological test;107;P86432.1;288559140;11
Oratosquilla oratoria;mantis shrimp;Unassigned;Food Animal;Oratosquilla tropomyosin;IgE plus basophil+ or SPT+;284;BAF95206.1;162286975;9
Oreochromis mossambicus;Mozambique tilapia;Ore m 4.0101;Food Animal;Oreochromis Ore m 4 tropomyosin;IgE but no biological test;284;AFV53352.1;410060781;14
Pandalus borealis;caribean shrimp;Pan b 1.0101;Food Animal;Pandalus Pan b 1;IgE but no biological test;284;CBY17558.1;312831088;12
Panulirus stimpsoni;Lobster;Pan s 1.0101;Food Animal;Panulirus Pan s 1;IgE plus basophil+ or SPT+;274;AAC38996.1;3080761;11
Paralithodes camtschaticus;Kamchatka crab;Unassigned;Food Animal;Paralithodes tropomyosin;IgE but no biological test;284;BAF47265.1;125995163;8
Paralithodes camtschaticus;Kamchatka crab;Unassigned;Food Animal;Paralithodes tropomyosin;IgE but no biological test;284;BAF47266.1;125995165;8
Penaeus monodon;Black tiger shrimp;Pen m 1.0101;Food Animal;Penaeus Pen m 1 tropomyosin;IgE but no biological test;284;AAX37288.1;60892782;15
Penaeus monodon;Black tiger shrimp;Pen m 2.0101;Food Animal;Penaeus Pen m 2;IgE plus basophil+ or SPT+;356;AAO15713.1;27463265;7
Penaeus monodon;Black tiger shrimp;Unassigned;Food Animal;Penaeus Pen m 2;IgE plus basophil+ or SPT+;356;C7E3T4.1;308154236;12
Penaeus monodon;Black tiger shrimp;Pen m 3.0101;Food Animal;Penaeus Pen m 3 myosin light chain;IgE but no biological test;177;ADV17342.1;317383196;12
Penaeus monodon;Black tiger shrimp;Pen m 4.0101;Food Animal;Penaeus Pen m 4 sarcoplasmic calcium binding;IgE but no biological test;193;ADV17343.1;317383198;12
Perna viridis;Asian green mussell;Unassigned;Food Animal;Perna Tropomyosin;IgE but no biological test;284;AAG08988.1;9954251;7
Pontastacus leptodactylus;Danube crayfish;Pon l 4.0101;Food Animal;Pontastacus Pon l 4;IgE but no biological test;192;P05946.1;134309;15
Portunus pelagicus;blue swimmer crab;Por p 1.0101;Food Animal;Portunus Por p 1 tropomyosin;IgE plus basophil+ or SPT+;284;AGE44125.1;448278534;14
Portunus sanguinolentus;Crab;Unassigned;Food Animal;Portunus Por s and t tropomyosin;IgE but no biological test;284;ABL89183.1;119674937;8
Portunus trituberculatus;Crab;Unassigned;Food Animal;Portunus Por s and t tropomyosin;IgE but no biological test;284;ABS12234.1;151505281;9
Procambarus clarkii;red swamp crayfish;Pro c 5.0101;Food Animal;Procambarus Pro c 5 MLC 1;IgE but no biological test;153;AFP95338.1;401606251;19
Procambarus clarkii;red swamp crayfish;Pro c 8.0101;Food Animal;Procambarus Pro c 8;IgE but no biological test;248;AEB54655.1;328900101;19
Procambarus clarkii;red swamp crayfish;Pro c 2.0101;Food Animal;Procambarus red crayfish arginine kinase;IgE but no biological test;357;AFA45339.1;375298901;13
Procambarus clarkii;red swamp crayfish;Pro c 1.0101;Food Animal;Procambarus tropomysin;IgE but no biological test;284;ACN87223.1;225348412;10
Protortonia cacti;Arthropod;Unassigned;Food Animal;Protortonia;IgE but no biological test;335;BAH59276.1;237769615;11
Pseudocardium sachalinensis;Mollusc;Unassigned;Food Animal;Pseudocardium tropomyosin;IgE but no biological test;284;BAH10154.1;219806598;10
Rana esculenta;Frog;Ran e 1.0101;Food Animal;Rana Ran e 1;IgE but no biological test;110;CAC83046.1;20796729;7
Rana esculenta;Frog;Ran e 2.0101;Food Animal;Rana Ran e 2;IgE but no biological test;109;CAC95152.1;20797081;7
Rana sp. CH-2001;Frog;Unassigned;Food Animal;Rana Ran e 1;IgE but no biological test;110;CAC83047.1;20796733;7
Rana sp. CH-2001;Frog;Unassigned;Food Animal;Rana Ran e 2;IgE but no biological test;109;CAC95153.1;20797085;7
Salmo salar;Salmon;;Food Animal;Salmo Sal s 1;IgE plus basophil+ or SPT+;108;Q91483.3;18281421;7
Salmo salar;Salmon;Unassigned;Food Animal;Salmo Sal s 1;IgE plus basophil+ or SPT+;109;ACI68103.1;209734468;10
Salmo salar;Salmon;Sal s 1.0101;Food Animal;Salmo Sal s 1;IgE plus basophil+ or SPT+;109;CAA66403.1;1322183;15
Salmo salar;Salmon;Unassigned;Food Animal;Salmo Sal s 2 enolase;IgE plus basophil+ or SPT+;432;CBL79146.1;385145180;13
Salmo salar;Salmon;Sal s 2.0101;Food Animal;Salmo Sal s 2 enolase;IgE plus basophil+ or SPT+;434;ACH70931.1;197632415;15
Salmo salar;Salmon;Sal s 3.0101;Food Animal;Salmo Sal s 3 aldolase;IgE plus basophil+ or SPT+;363;ACH70901.1;197632355;13
Salmo salar;Salmon;Unassigned;Food Animal;Salmo Sal s 3 aldolase;IgE plus basophil+ or SPT+;363;CBL79147.1;385145176;13
Salvelinus fontinalis;Brook trout;Unassigned;Food Animal;Salvelinus parvalbumin;IgE but no biological test;109;CAX32966.1;288557438;11
